entity,year,item,value_meur,source,page,note
APRR-Area,2023,subcontracting_incl_construction,230.5,S-10,33,"Prestations de construction (IFRIC 12)"
APRR-Area,2023,taxes,362.3,S-10,33,"Impôts et taxes (note 18)"
APRR-Area,2023,specific_levies,309.0,S-10,33,"TAT 190,7 + redevance domaniale 100,0 + contribution AFITF 18,3 (TEITLD 0 en 2023 ; CET 43,7 exclue)"
APRR-Area,2023,personnel,226.6,S-10,33,"Charges de personnel"
APRR-Area,2023,other_operating,11.0,S-10,5,"Autres produits et charges d'exploitation (produit net)"
APRR-Area,2023,depreciation,564.0,S-10,34,"Dotations aux amortissements (note 19)"
APRR-Area,2023,depreciation_domain,491.2,S-10,21,"Amortissements de l'exercice des immobilisations incorporelles du domaine concédé (note 5, année 2023)"
APRR-Area,2023,provisions,30.0,S-10,5,"Dotations aux provisions nettes des reprises"
APRR-Area,2023,income_tax,384.3,S-10,5,"Impôt sur le résultat"
APRR-Area,2023,net_income,1115.8,S-10,5,"Résultat net de la période"
APRR-Area,2023,gross_domain,16509.1,S-10,21,"Immobilisations incorporelles du domaine concédé, valeur brute au 31/12/2023 (note 5)"
APRR-Area,2023,work_in_progress,0.0,S-10,21,"Non isolé"
APRR-Area,2023,subsidies_gross,0.0,S-10,12,"Subventions reçues du concédant déduites du coût de construction (note 2.3.2), montant non isolé"
APRR-Area,2023,accumulated_amortisation,9749.1,S-10,21,"Amortissements cumulés au 31/12/2023"
APRR-Area,2023,subsidies_amortised,0.0,S-10,12,"Sans objet"
APRR-Area,2023,net_domain,6760.0,S-10,4,"Immobilisations incorporelles du domaine concédé, valeur nette au 31/12/2023 (bilan)"
APRR-Area,2023,tangible_net,217.2,S-10,4,"Immobilisations corporelles, valeur nette au 31/12/2023 (bilan)"
APRR-Area,2024,revenue,3152.5,S-10,5,"Chiffre d'affaires lié à l'exploitation de l'infrastructure, 2024"
APRR-Area,2024,taxes,495.6,S-10,33,"Impôts et taxes 2024"
APRR-Area,2024,specific_levies,444.7,S-10,33,"TAT 196,7 + TEITLD 123,3 + redevance domaniale 106,0 + AFITF 18,7 (2024)"
APRR-Area,2024,teitld,123.3,S-10,33,"Taxe d'exploitation des infrastructures de transport de longue distance, 2024"
Secteur-SCA,2023,revenue,12300.0,S-04,5,"Chiffre d'affaires de l'ensemble des SCA (tableau 3, en Md€ : 12,3)"
Secteur-SCA,2023,toll_revenue,11900.0,S-04,5,"dont recettes de péage"
Secteur-SCA,2023,charges,3200.0,S-04,5,"Charges (charges externes 1,4 ; personnel 0,9 ; impôts et taxes 1,0 ; autres +0,1)"
Secteur-SCA,2023,taxes,1000.0,S-04,5,"dont impôts et taxes"
Secteur-SCA,2023,ebitda,9100.0,S-04,5,"EBITDA"
Secteur-SCA,2023,depreciation,2300.0,S-04,5,"Dotations aux amortissements et provisions"
Secteur-SCA,2023,operating_income,6800.0,S-04,5,"Résultat d'exploitation"
Secteur-SCA,2023,financial_result,-800.0,S-04,5,"Résultat financier"
Secteur-SCA,2023,income_tax,1500.0,S-04,5,"Impôt sur les sociétés"
Secteur-SCA,2023,net_income,4400.0,S-04,5,"Résultat net"
Secteur-SCA,2023,dividends,4100.0,S-04,7,"Dividendes versés (figure 7)"
Secteur-SCA,2023,operating_cash_flow,7000.0,S-04,6,"Flux de trésorerie liés à l'activité (figure 5)"
Secteur-SCA,2023,capex,1400.0,S-04,6,"Flux de trésorerie liés à l'investissement (figure 5)"
Secteur-SCA,2023,debt_repayment,1400.0,S-04,6,"Remboursement de la dette financière (texte p. 6)"
Secteur-SCA,2024,revenue,12800.0,S-04,5,"Chiffre d'affaires 2024"
Secteur-SCA,2024,toll_revenue,12400.0,S-04,5,"dont recettes de péage"
Secteur-SCA,2024,toll_revenue_historic,11700.0,S-04,5,"Recettes de péage des sociétés historiques (figure 4)"
Secteur-SCA,2024,toll_revenue_recent,700.0,S-04,5,"Recettes de péage des sociétés récentes (figure 4)"
Secteur-SCA,2024,charges,3700.0,S-04,5,"Charges 2024"
Secteur-SCA,2024,taxes,1500.0,S-04,5,"dont impôts et taxes 2024 (TEITLD comprise)"
Secteur-SCA,2024,ebitda,9100.0,S-04,5,"EBITDA 2024"
Secteur-SCA,2024,depreciation,2400.0,S-04,5,"Dotations aux amortissements et provisions 2024"
Secteur-SCA,2024,operating_income,6700.0,S-04,5,"Résultat d'exploitation 2024"
Secteur-SCA,2024,income_tax,1600.0,S-04,5,"Impôt sur les sociétés 2024"
Secteur-SCA,2024,net_income,4300.0,S-04,5,"Résultat net 2024"
Secteur-SCA,2024,dividends,4400.0,S-04,7,"Dividendes versés 2024"
Secteur-SCA,2024,operating_cash_flow,6500.0,S-04,6,"Flux de trésorerie liés à l'activité 2024"
Secteur-SCA,2024,capex,1300.0,S-04,6,"Investissements 2024"
Secteur-SCA,2024,debt_repayment,800.0,S-04,6,"Remboursement de la dette financière 2024"
Secteur-SCA,2024,gross_debt,30500.0,S-04,7,"Dette financière au 31/12/2024, dettes intragroupes comprises"
Secteur-SCA,2024,net_debt,23800.0,S-04,7,"Endettement financier net 2024"
Secteur-SCA,2024,teitld,500.0,S-02,99,"TEITLD due par les sept principales SCA au titre de 2024 (ART, EGC3 p. 99)"
Secteur-sept,2024,revenue_asf_escota,4774.0,S-16,10,"Chiffre d'affaires 2024 ASF / ESCOTA (ASFA, chiffres clés édition 2025)"
Secteur-sept,2024,revenue_aprr_area,3064.6,S-16,10,"Chiffre d'affaires 2024 APRR / AREA"
Secteur-sept,2024,revenue_cofiroute,1657.0,S-16,10,"Chiffre d'affaires 2024 COFIROUTE"
Secteur-sept,2024,revenue_sanef_sapn,2001.5,S-16,10,"Chiffre d'affaires 2024 SANEF / SAPN"
Secteur-sept,2024,revenue_all_sca,12819.2,S-16,10,"Total 2024, toutes SCA (ASFA)"
Vinci-Autoroutes,2023,ropa,3362.0,S-11,8,"Résultat opérationnel sur activité VINCI Autoroutes (53,2 % du CA)"
Vinci-Autoroutes,2023,ropa_share_of_revenue,53.2,S-11,8,"ROPA / chiffre d'affaires, en %"
Vinci-Autoroutes,2023,capital_employed,18300.0,S-11,13,"Capitaux engagés VINCI Autoroutes au 31/12/2023 (comprennent le prix d'acquisition d'ASF)"
Vinci-Energies,2023,ropa,1356.0,S-11,9,"Résultat opérationnel sur activité VINCI Energies (7,0 % du CA)"
Vinci-Energies,2023,ropa_share_of_revenue,7.0,S-11,9,"ROPA / chiffre d'affaires, en %"
Vinci-Energies,2023,capital_employed,4400.0,S-11,13,"Capitaux engagés VINCI Energies au 31/12/2023"
Vinci-Construction,2023,ropa,1260.0,S-11,9,"Résultat opérationnel sur activité VINCI Construction (4,0 % du CA)"
Vinci-Construction,2023,ropa_share_of_revenue,4.0,S-11,9,"ROPA / chiffre d'affaires, en %"
Vinci-Construction,2023,capital_employed,300.0,S-11,13,"Capitaux engagés VINCI Construction au 31/12/2023"
